RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T24493_0.6	F44_0.6	TS19_0.6	M253_0.6	MS1_0.6	YGL014W	Puf4	Saccharomyces_cerevisiae	D	PUF	PUF	1	0.70	1151_15024427	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T24494_0.6	F44_0.6	TS19_0.6	M251_0.6	MS1_0.6	YGL178W	Mpt5	Saccharomyces_cerevisiae	D	PUF	PUF	1	0.70	1148_15024427	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T24495_0.6	F44_0.6	TS19_0.6	.	.	YJL010C	NOP9	Saccharomyces_cerevisiae	N	PUF	PUF	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T24496_0.6	F44_0.6	TS19_0.6	M252_0.6	MS1_0.6	YLL013C	Puf3	Saccharomyces_cerevisiae	D	PUF	PUF	1	0.70	1149_15024427	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T25345_0.6	F45_0.6	TS19_0.6	.	.	YJR091C	JSN1	Saccharomyces_cerevisiae	N	PUF,RRM	PUF,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T25346_0.6	F45_0.6	TS19_0.6	.	.	YPR042C	PUF2	Saccharomyces_cerevisiae	N	PUF,RRM	PUF,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T25754_0.6	F46_0.6	TS19_0.6	.	.	YDL167C	NRP1	Saccharomyces_cerevisiae	N	RanBP ZF,RRM	zf-RanBP,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46325_0.6	F49_0.6	TS19_0.6	.	.	YBL051C	PIN4	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46326_0.6	F49_0.6	TS19_0.6	.	.	YBR119W	MUD1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46327_0.6	F49_0.6	TS19_0.6	.	.	YBR212W	NGR1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46328_0.6	F49_0.6	TS19_0.6	.	.	YCL011C	GBP2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46329_0.6	F49_0.6	TS19_0.6	.	.	YDL209C	CWC2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46330_0.6	F49_0.6	TS19_0.6	.	.	YDL213C	NOP6	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46331_0.6	F49_0.6	TS19_0.6	.	.	YDL224C	WHI4	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46332_0.6	F49_0.6	TS19_0.6	.	.	YDR381W	YRA1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46333_0.6	F49_0.6	TS19_0.6	.	.	YDR429C	TIF35	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46334_0.6	F49_0.6	TS19_0.6	M277_0.6	MS1_0.6	YDR432W	Npl3	Saccharomyces_cerevisiae	D	RRM	RRM_1	1	0.70	252_15703440	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46334_0.6	F49_0.6	TS19_0.6	M278_0.6	MS1_0.6	YDR432W	Npl3	Saccharomyces_cerevisiae	D	RRM	RRM_1	1	0.70	252_15703440.1	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46335_0.6	F49_0.6	TS19_0.6	.	.	YER068W	MOT2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46336_0.6	F49_0.6	TS19_0.6	.	.	YER165W	PAB1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46337_0.6	F49_0.6	TS19_0.6	.	.	YFR023W	PES4	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46338_0.6	F49_0.6	TS19_0.6	.	.	YFR032C	RRT5	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46339_0.6	F49_0.6	TS19_0.6	M299_0.6	MS1_0.6	YGL044C	Rna15	Saccharomyces_cerevisiae	D	RRM	RRM_1	1	0.70	376_9199325	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46339_0.6	F49_0.6	TS19_0.6	M300_0.6	MS1_0.6	YGL044C	Rna15	Saccharomyces_cerevisiae	D	RRM	RRM_1	1	0.70	377_9199325	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46340_0.6	F49_0.6	TS19_0.6	.	.	YGR156W	PTI1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46341_0.6	F49_0.6	TS19_0.6	.	.	YGR159C	NSR1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46342_0.6	F49_0.6	TS19_0.6	.	.	YGR222W	PET54	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46343_0.6	F49_0.6	TS19_0.6	.	.	YGR250C	YGR250C	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46344_0.6	F49_0.6	TS19_0.6	.	.	YHL024W	RIM4	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46345_0.6	F49_0.6	TS19_0.6	.	.	YHL034C	SBP1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46346_0.6	F49_0.6	TS19_0.6	.	.	YHR015W	MIP6	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46347_0.6	F49_0.6	TS19_0.6	.	.	YHR086W	NAM8	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46348_0.6	F49_0.6	TS19_0.6	.	.	YHR127W	YHR127W	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46349_0.6	F49_0.6	TS19_0.6	.	.	YIL061C	SNP1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46350_0.6	F49_0.6	TS19_0.6	.	.	YIR001C	SGN1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46351_0.6	F49_0.6	TS19_0.6	.	.	YIR005W	IST3	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46352_0.6	F49_0.6	TS19_0.6	.	.	YIR009W	MSL1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46353_0.6	F49_0.6	TS19_0.6	.	.	YKL074C	MUD2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46354_0.6	F49_0.6	TS19_0.6	.	.	YKL214C	YRA2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46355_0.6	F49_0.6	TS19_0.6	.	.	YLL046C	RNP1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46356_0.6	F49_0.6	TS19_0.6	.	.	YML117W	NAB6	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46357_0.6	F49_0.6	TS19_0.6	.	.	YMR268C	PRP24	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46358_0.6	F49_0.6	TS19_0.6	.	.	YMR302C	YME2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46359_0.6	F49_0.6	TS19_0.6	.	.	YNL004W	HRB1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46360_0.6	F49_0.6	TS19_0.6	.	.	YNL016W	PUB1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46361_0.6	F49_0.6	TS19_0.6	.	.	YNL110C	NOP15	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46362_0.6	F49_0.6	TS19_0.6	.	.	YNL175C	NOP13	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46363_0.6	F49_0.6	TS19_0.6	.	.	YNL197C	WHI3	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46364_0.6	F49_0.6	TS19_0.6	.	.	YNL251C	NRD1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46365_0.6	F49_0.6	TS19_0.6	.	.	YNL286W	CUS2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46366_0.6	F49_0.6	TS19_0.6	.	.	YNR051C	BRE5	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46367_0.6	F49_0.6	TS19_0.6	.	.	YNR054C	ESF2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46368_0.6	F49_0.6	TS19_0.6	.	.	YOL041C	NOP12	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46369_0.6	F49_0.6	TS19_0.6	M030_0.6	MS2_0.6	YOL123W	HRP1	Saccharomyces_cerevisiae	D	RRM	RRM_1	1	0.70	RNCMPT00031	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46370_0.6	F49_0.6	TS19_0.6	.	.	YOL144W	NOP8	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46371_0.6	F49_0.6	TS19_0.6	.	.	YOR319W	HSH49	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46372_0.6	F49_0.6	TS19_0.6	.	.	YOR361C	PRT1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46373_0.6	F49_0.6	TS19_0.6	.	.	YPL043W	NOP4	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46374_0.6	F49_0.6	TS19_0.6	.	.	YPL178W	CBC2	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46375_0.6	F49_0.6	TS19_0.6	.	.	YPL184C	MRN1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46376_0.6	F49_0.6	TS19_0.6	.	.	YPL190C	NAB3	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T46377_0.6	F49_0.6	TS19_0.6	.	.	YPR112C	MRD1	Saccharomyces_cerevisiae	N	RRM	RRM_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T60799_0.6	F52_0.6	TS19_0.6	.	.	YDR404C	RPB7	Saccharomyces_cerevisiae	N	S1	S1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T60800_0.6	F52_0.6	TS19_0.6	.	.	YER013W	PRP22	Saccharomyces_cerevisiae	N	S1	S1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T60801_0.6	F52_0.6	TS19_0.6	M231_0.6	MS2_0.6	YJR007W	SUI2	Saccharomyces_cerevisiae	I	S1	S1	1	0.70	RNCMPT00273	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T60802_0.6	F52_0.6	TS19_0.6	.	.	YMR229C	RRP5	Saccharomyces_cerevisiae	N	S1	S1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T61839_0.6	F53_0.6	TS19_0.6	M080_0.6	MS2_0.6	YOR359W	Vts1	Saccharomyces_cerevisiae	D	SAM	SAM_1	1	0.70	RNCMPT00082	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T61839_0.6	F53_0.6	TS19_0.6	M107_0.6	MS2_0.6	YOR359W	Vts1	Saccharomyces_cerevisiae	D	SAM	SAM_1	1	0.70	RNCMPT00111	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T62269_0.6	F55_0.6	TS19_0.6	.	.	YDR374C	YDR374C	Saccharomyces_cerevisiae	N	YTH	YTH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
