,Group
>YDR165W,5
>YDR168W,0
>YDR170C,1
>YDR171W,5
>YDR173C,1
>YDR177W,5
>YDR178W,5
>YDR185C,5
>YDR188W,2
>YDR189W,0
>YDR190C,1
>YDR194C,1
>YDR195W,0
>YDR197W,5
>YDR205W,5
>YDR206W,5
>YDR211W,0
>YDR212W,5
>YDR214W,4
>YDR221W,0
>YDR224C,3
>YDR225W,2
>YDR226W,2
>YDR228C,1
>YDR231C,1
>YDR232W,2
>YDR233C,3
>YDR234W,2
>YDR238C,1
>YDR242W,5
>YDR244W,0
>YDR246W,4
>YDR247W,5
>YDR253C,1
>YDR255C,1
>YDR257C,1
>YDR260C,5
>YDR261C,5
>YDR264C,5
>YDR265W,5
>YDR275W,5
>YDR276C,5
>YDR279W,0
>YDR282C,1
>YDR283C,1
>YDR288W,0
>YDR292C,4
>YDR293C,4
>YDR295C,1
>YDR302W,5
>YDR304C,3
>YDR305C,5
>YDR313C,1
>YDR317W,5
>YDR319C,5
>YDR321W,5
>YDR328C,1
>YDR331W,5
>YDR333C,1
>YDR334W,0
>YDR337W,0
>YDR345C,3
>YDR346C,1
>YDR349C,5
>YDR352W,5
>YDR353W,2
>YDR358W,0
>YDR368W,5
>YDR370C,5
>YDR371W,0
>YDR379C-A,5
>YDR381W,5
>YDR382W,2
>YDR384C,5
>YDR385W,2
>YDR387C,0
>YDR392W,0
>YDR399W,5
>YDR409W,0
>YDR411C,5
>YDR412W,0
>YDR414C,5
>YDR416W,0
>YDR418W,2
>YDR419W,5
>YDR422C,5
>YDR428C,5
>YDR432W,2
>YDR437W,5
>YDR441C,5
>YDR447C,3
>YDR450W,2
>YDR451C,4
>YDR454C,3
>YDR456W,1
>YDR463W,0
>YDR466W,0
>YDR471W,5
>YDR481C,5
>YDR485C,1
>YDR490C,5
>YDR492W,5
>YDR498C,5
>YDR502C,3
>YDR506C,1
>YDR508C,3
>YDR510W,2
>YDR513W,5
>YDR515W,0
>YDR520C,1
>YDR524C,5
>YDR528W,0
>YIL164C,4
>YIL155C,4
>YIL148W,2
>YIL145C,5
>YIL142W,2
>YIL137C,5
>YIL134W,5
>YIL133C,3
>YIL131C,5
>YIL130W,0
>YIL129C,1
>YIL125W,2
>YIL124W,5
>YIL121W,5
>YIL119C,4
>YIL118W,5
>YIL116W,5
>YIL110W,5
>YIL107C,1
>YIL101C,4
>YIL094C,3
>YIL093C,4
>YIL090W,5
>YIL084C,1
>YIL075C,5
>YIL071C,1
>YIL070C,1
>YIL069C,3
>YIL056W,5
>YIL053W,2
>YIL052C,3
>YIL050W,5
>YIL049W,0
>YIL047C,5
>YIL046W,4
>YIL045W,0
>YIL036W,0
>YIL026C,1
>YIL023C,4
>YIL020C,5
>YIL018W,2
>YIL015W,5
>YIL013C,5
>YIL009W,2
>YIL008W,5
>YIR011C,5
>YIR012W,5
>YIR021W,5
>YIR022W,5
>YIR037W,5
>YIR038C,5
>YEL072W,5
>YEL071W,5
>YEL066W,5
>YEL063C,5
>YEL060C,3
>YEL058W,5
>YEL054C,3
>YEL053C,1
>YEL051W,0
>YEL050C,5
>YEL048C,5
>YEL047C,3
>YEL046C,3
>YEL044W,4
>YEL042W,5
>YEL040W,5
>YEL034W,2
>YEL033W,1
>YEL027W,2
>YEL026W,2
>YEL024W,2
>YEL017C-A,5
>YEL013W,5
>YEL012W,0
>YEL011W,5
>YEL006W,5
>YEL005C,5
>YEL002C,5
>YER001W,0
>YER003C,5
>YER004W,2
>YER007C-A,5
>YER009W,5
>YER011W,2
>YER012W,5
>YER013W,0
>YER014W,0
>YER017C,5
>YER018C,4
>YER019W,4
>YER021W,5
>YER023W,5
>YER024W,5
>YER025W,2
>YER028C,5
>YER030W,0
>YER031C,5
>YER035W,4
>YER037W,5
>YER038W-A,5
>YER041W,5
>YER043C,3
>YER045C,4
>YER047C,1
>YER048W-A,5
>YER052C,3
>YER053C,5
>YER055C,5
>YER056C-A,3
>YER057C,5
>YER059W,0
>YER062C,3
>YER063W,0
>YER064C,5
>YER067W,5
>YER068W,0
>YER070W,2
>YER071C,1
>YER072W,4
>YER073W,2
>YER074W,2
>YER077C,1
>YER081W,2
>YER087C-B,5
>YER088C,4
>YER089C,4
>YER090W,5
>YER094C,3
>YER098W,0
>YER100W,5
>YER102W,2
>YER110C,3
>YER115C,5
>YER116C,1
>YER117W,2
>YER119C,4
>YER120W,5
>YER122C,1
>YER123W,5
>YER124C,1
>YER127W,0
>YER128W,0
>YER129W,0
>YER130C,5
>YER133W,0
>YER136W,5
>YER141W,5
>YER143W,5
>YER144C,5
>YER145C,5
>YER146W,4
>YER150W,2
>YER151C,1
>YER164W,0
>YER170W,5
>YER173W,0
>YER180C-A,1
>YER183C,5
>YER184C,1
>YER185W,5
>YFL055W,4
>YFL052W,5
>YFL049W,0
>YFL045C,3
>YFL044C,4
>YFL039C,3
>YFL037W,2
>YFL036W,0
>YFL033C,4
>YFL031W,4
>YFL030W,5
>YFL029C,5
>YFL026W,5
>YFL025C,5
>YFL024C,1
>YFL021W,0
>YFL016C,4
>YFL010W-A,5
>YFR005C,1
>YFR014C,1
>YFR015C,5
>YFR017C,4
>YFR022W,5
>YFR028C,5
>YFR031C-A,3
>YFR032C-A,5
>YFR034C,4
>YFR037C,1
>YFR043C,5
>YFR044C,3
>YFR051C,4
>YFR053C,3
>YFR055W,5
>YGL256W,2
>YGL254W,5
>YGL247W,5
>YGL245W,2
>YGL244W,0
>YGL240W,5
>YGL236C,4
>YGL234W,2
>YGL231C,5
>YGL226W,5
>YGL225W,2
>YGL223C,1
>YGL222C,4
>YGL221C,4
>YGL219C,5
>YGL216W,5
>YGL215W,5
>YGL209W,5
>YGL207W,0
>YGL206C,1
>YGL203C,1
>YGL200C,5
>YGL198W,4
>YGL197W,5
>YGL196W,5
>YGL190C,4
>YGL189C,3
>YGL181W,0
>YGL179C,5
>YGL178W,0
>YGL173C,1
>YGL171W,0
>YGL167C,3
>YGL163C,1
>YGL162W,5
>YGL161C,5
>YGL157W,5
>YGL151W,0
>YGL148W,2
>YGL147C,3
>YGL145W,0
>YGL144C,5
>YGL142C,5
>YGL135W,2
>YGL133W,0
>YGL130W,5
>YGL126W,4
>YGL125W,4
>YGL124C,1
>YGL123W,2
>YGL122C,4
>YGL113W,0
>YGL112C,5
>YGL107C,5
>YGL105W,2
>YGL103W,2
>YGL100W,5
>YGL097W,4
>YGL096W,5
>YGL095C,1
>YGL090W,0
>YGL087C,5
>YGL077C,3
>YGL076C,3
>YGL070C,5
>YGL066W,0
>YGL063W,4
>YGL062W,2
>YGL060W,0
>YGL057C,5
>YGL056C,4
>YGL055W,2
>YGL054C,5
>YGL053W,5
>YGL050W,5
>YGL048C,1
>YGL044C,5
>YGL043W,4
>YGL040C,5
>YGL038C,5
>YGL037C,5
>YGL035C,4
>YGL032C,5
>YGL031C,3
>YGL030W,2
>YGL028C,4
>YGL026C,3
>YGL021W,0
>YGL019W,5
>YGL016W,0
>YGL012W,5
>YGL010W,5
>YGL008C,3
>YGL006W,0
>YGR003W,0
>YGR006W,5
>YGR008C,5
>YGR014W,5
>YGR023W,1
>YGR024C,5
>YGR027C,3
>YGR030C,5
>YGR032W,5
>YGR033C,3
>YGR034W,5
>YGR037C,3
>YGR038W,5
>YGR040W,5
>YGR042W,5
>YGR044C,5
>YGR046W,0
>YGR048W,5
>YGR058W,5
>YGR068C,4
>YGR072W,0
>YGR081C,1
>YGR085C,3
>YGR086C,3
>YGR088W,2
>YGR092W,0
>YGR093W,0
>YGR094W,2
>YGR096W,5
>YGR097W,0
>YGR108W,0
>YGR112W,5
>YGR118W,2
>YGR119C,4
>YGR121C,4
>YGR124W,2
>YGR131W,5
>YGR135W,5
>YGR138C,3
>YGR142W,0
>YGR143W,5
>YGR145W,0
>YGR146C,5
>YGR148C,3
>YGR154C,5
>YGR155W,2
>YGR156W,0
>YGR161C,4
>YGR167W,0
>YGR169C-A,1
>YGR175C,3
>YGR180C,3
>YGR183C,5
>YGR187C,1
>YGR189C,4
>YGR194C,5
>YGR197C,5
>YGR198W,0
>YGR202C,1
>YGR205W,5
>YGR208W,5
>YGR212W,0
>YGR213C,5
>YGR214W,2
>YGR217W,0
>YGR218W,0
>YGR220C,5
>YGR221C,5
>YGR222W,0
>YGR225W,5
>YGR227W,0
>YGR229C,1
>YGR231C,5
>YGR232W,5
>YGR234W,5
>YGR235C,1
>YGR241C,4
>YGR244C,5
>YGR247W,5
>YGR251W,0
>YGR254W,2
>YGR260W,5
>YGR261C,1
>YGR262C,5
>YGR267C,5
>YGR268C,4
>YGR275W,0
>YGR277C,1
>YGR279C,3
>YGR281W,5
>YGR285C,3
>YGR288W,5
>YGR295C,5
>YHL048W,5
>YHL047C,3
>YHL040C,3
>YHL039W,0
>YHL038C,5
>YHL036W,0
>YHL034C,1
>YHL033C,3
>YHL029C,5
>YHL028W,5
>YHL027W,5
>YHL020C,4
>YHL016C,4
>YHL015W,2
>YHL010C,1
>YHL006C,4
>YHL001W,5
>YHR002W,0
>YHR004C,5
>YHR006W,5
>YHR007C,3
>YHR010W,5
>YHR011W,0
>YHR013C,5
>YHR016C,5
>YHR018C,5
>YHR019C,3
>YHR021W-A,1
>YHR030C,1
>YHR032W,4
>YHR036W,0
>YHR037W,5
>YHR039C-A,3
>YHR043C,5
>YHR044C,5
>YHR046C,5
>YHR049W,2
>YHR056C,1
>YHR059W,5
>YHR064C,3
>YHR066W,0
>YHR067W,5
>YHR069C,4
>YHR072W-A,2
>YHR073W,0
>YHR074W,5
>YHR084W,0
>YHR087W,2
>YHR089C,4
>YHR092C,3
>YHR094C,3
>YHR098C,5
>YHR099W,0
>YHR101C,5
>YHR102W,0
>YHR104W,5
>YHR110W,5
>YHR114W,0
>YHR115C,5
>YHR128W,2
>YHR132W-A,5
>YHR134W,5
>YHR137W,5
>YHR143W,5
>YHR143W-A,5
>YHR144C,5
>YHR148W,5
>YHR155W,0
>YHR162W,5
>YHR167W,0
>YHR170W,5
>YHR174W,2
>YHR175W,5
>YHR183W,2
>YHR186C,1
>YHR189W,4
>YHR190W,2
>YHR192W,5
>YHR193C,3
>YHR194W,5
>YHR195W,5
>YHR203C,3
>YHR206W,0
>YHR208W,2
>YHR215W,2
>YHR216W,2
>YJL217W,5
>YJL212C,5
>YJL210W,4
>YJL208C,5
>YJL204C,1
>YJL200C,3
>YJL199C,5
>YJL192C,5
>YJL190C,3
>YJL177W,2
>YJL173C,5
>YJL171C,3
>YJL167W,2
>YJL165C,1
>YJL164C,1
>YJL162C,1
>YJL161W,5
>YJL160C,3
>YJL159W,2
>YJL156C,1
>YJL149W,5
>YJL143W,4
>YJL141C,4
>YJL138C,3
>YJL136C,5
>YJL133W,5
>YJL128C,4
>YJL126W,5
>YJL122W,2
>YJL121C,3
>YJL117W,5
>YJL116C,4
>YJL102W,0
>YJL101C,5
>YJL097W,5
>YJL096W,5
>YJL094C,5
>YJL093C,5
>YJL092W,0
>YJL091C,5
>YJL090C,1
>YJL083W,0
>YJL082W,0
>YJL081C,1
>YJL080C,3
>YJL079C,3
>YJL078C,4
>YJL062W-A,4
>YJL061W,0
>YJL059W,5
>YJL058C,5
>YJL057C,4
>YJL053W,5
>YJL052W,2
>YJL048C,5
>YJL042W,0
>YJL039C,1
>YJL035C,5
>YJL034W,2
>YJL033W,0
>YJL031C,1
>YJL023C,1
>YJL019W,0
>YJL016W,5
>YJL014W,5
>YJL012C,3
>YJL011C,1
>YJL004C,5
>YJR003C,1
>YJR005W,5
>YJR006W,5
>YJR010W,2
>YJR016C,3
>YJR021C,4
>YJR022W,5
>YJR025C,1
>YJR034W,5
>YJR035W,0
>YJR041C,1
>YJR042W,0
>YJR044C,5
>YJR045C,3
>YJR048W,2
>YJR049C,1
>YJR050W,0
>YJR052W,0
>YJR059W,5
>YJR064W,5
>YJR065C,5
>YJR072C,4
>YJR075W,5
>YJR082C,4
>YJR091C,4
>YJR093C,1
>YJR094W-A,5
>YJR103W,2
>YJR105W,2
>YJR106W,1
>YJR108W,5
>YJR109C,3
>YJR110W,5
>YJR111C,5
>YJR112W,0
>YJR116W,5
>YJR117W,5
>YJR121W,2
>YJR123W,2
>YJR125C,1
>YJR127C,4
>YJR130C,5
>YJR133W,5
>YJR135C,1
>YJR136C,5
>YJR139C,3
>YJR144W,5
>YJR145C,3
>YJR147W,0
>YJR148W,2
>YKL219W,5
>YKL216W,5
>YKL215C,1
>YKL214C,1
>YKL213C,5
>YKL212W,5
>YKL210W,5
>YKL209C,5
>YKL208W,0
>YKL207W,5
>YKL206C,5
>YKL204W,0
>YKL201C,1
>YKL198C,4
>YKL197C,5
>YKL196C,5
>YKL195W,0
>YKL193C,1
>YKL192C,5
>YKL191W,4
>YKL189W,0
>YKL185W,0
>YKL184W,5
>YKL180W,2
>YKL176C,5
>YKL174C,5
>YKL164C,3
>YKL163W,2
>YKL161C,5
>YKL160W,0
>YKL159C,5
>YKL151C,1
>YKL150W,5
>YKL149C,1
>YKL148C,3
>YKL142W,0
>YKL140W,5
>YKL132C,5
>YKL128C,1
>YKL126W,5
>YKL125W,0
>YKL124W,0
>YKL122C,5
>YKL120W,5
>YKL119C,1
>YKL117W,0
>YKL116C,5
>YKL110C,5
>YKL109W,0
>YKL108W,0
>YKL106W,5
>YKL104C,3
>YKL103C,5
>YKL100C,1
>YKL096W-A,2
>YKL090W,5
>YKL087C,4
>YKL082C,1
>YKL081W,2
>YKL068W,0
>YKL067W,5
>YKL062W,0
>YKL061W,0
>YKL058W,5
>YKL056C,3
>YKL054C,4
>YKL051W,5
>YKL049C,1
>YKL047W,5
>YKL044W,5
>YKL043W,5
>YKL039W,5
>YKL035W,2
>YKL032C,4
>YKL029C,3
>YKL027W,0
>YKL026C,5
>YKL025C,1
>YKL024C,5
>YKL013C,5
>YKL006W,5
>YKL005C,1
>YKL002W,5
>YKR006C,1
>YKR009C,1
>YKR014C,1
>YKR021W,5
>YKR024C,1
>YKR025W,0
>YKR027W,0
>YKR031C,1
>YKR036C,1
>YKR042W,2
>YKR043C,5
>YKR046C,3
>YKR048C,4
>YKR050W,4
>YKR052C,5
>YKR056W,5
>YKR057W,5
>YKR058W,0
>YKR059W,2
>YKR061W,5
>YKR065C,5
>YKR066C,4
>YKR068C,5
>YKR069W,5
>YKR071C,5
>YKR080W,5
>YKR081C,1
>YKR087C,5
>YKR093W,2
>YKR094C,3
>YKR100C,1
>YLL063C,5
>YLL052C,3
>YLL051C,5
>YLL048C,1
>YLL045C,3
>YLL043W,5
>YLL042C,5
>YLL041C,3
>YLL039C,3
>YLL038C,1
>YLL028W,5
>YLL027W,5
>YLL026W,2
>YLL024C,3
>YLL023C,5
>YLL018C-A,1
>YLL018C,3
>YLL014W,5
>YLL012W,5
>YLL010C,4
>YLL007C,1
>YLL006W,5
>YLL001W,0
>YLR006C,1
>YLR007W,5
>YLR010C,5
>YLR011W,5
>YLR017W,5
>YLR021W,5
>YLR024C,1
>YLR027C,3
>YLR033W,0
>YLR034C,5
>YLR043C,3
>YLR045C,1
>YLR054C,5
>YLR056W,2
>YLR057W,0
>YLR061W,2
>YLR065C,5
>YLR066W,5
>YLR072W,5
>YLR075W,2
>YLR079W,5
>YLR084C,5
>YLR085C,5
>YLR090W,0
>YLR093C,5
>YLR099C,4
>YLR100W,5
>YLR104W,5
>YLR105C,5
>YLR109W,2
>YLR113W,5
>YLR114C,1
>YLR115W,0
>YLR120C,5
>YLR121C,4
>YLR130C,5
>YLR133W,5
>YLR134W,2
>YLR135W,0
>YLR136C,5
>YLR137W,4
>YLR139C,4
>YLR141W,4
>YLR142W,5
>YLR143W,0
>YLR148W,0
>YLR150W,2
>YLR153C,3
>YLR165C,5
>YLR167W,2
>YLR170C,5
>YLR174W,0
>YLR178C,4
>YLR180W,2
>YLR182W,0
>YLR194C,4
>YLR196W,0
>YLR197W,2
>YLR199C,5
>YLR200W,0
>YLR201C,5
>YLR205C,5
>YLR206W,0
>YLR208W,2
>YLR213C,5
>YLR214W,5
>YLR219W,0
>YLR220W,5
>YLR229C,5
>YLR246W,5
>YLR247C,1
>YLR248W,5
>YLR249W,2
>YLR256W,0
>YLR258W,2
>YLR260W,0
>YLR261C,5
>YLR262C-A,1
>YLR265C,1
>YLR275W,5
>YLR276C,1
>YLR286C,4
>YLR287C-A,5
>YLR295C,3
>YLR299W,5
>YLR300W,2
>YLR301W,5
>YLR304C,3
>YLR312C,1
>YLR319C,1
>YLR325C,3
>YLR327C,5
>YLR333C,3
>YLR337C,4
>YLR340W,2
>YLR344W,5
>YLR347C,5
>YLR348C,4
>YLR350W,4
>YLR354C,3
>YLR355C,3
>YLR360W,5
>YLR361C,5
>YLR367W,5
>YLR370C,5
>YLR372W,2
>YLR376C,5
>YLR389C,1
>YLR393W,5
>YLR396C,1
>YLR399C,1
>YLR401C,1
>YLR403W,0
>YLR404W,5
>YLR405W,5
>YLR413W,2
>YLR414C,5
>YLR417W,5
>YLR420W,5
>YLR421C,5
>YLR426W,5
>YLR427W,0
>YLR432W,2
>YLR433C,1
>YLR436C,1
>YLR439W,0
>YLR441C,3
>YLR447C,5
>YLR449W,0
>YLR450W,5
>YLR452C,1
>YLR453C,5
>YLR455W,0
>YML130C,5
>YML126C,3
>YML125C,5
>YML123C,3
>YML121W,5
>YML120C,5
>YML117W,0
>YML116W,0
>YML114C,1
>YML111W,0
>YML106W,2
>YML100W,5
>YML094W,0
>YML088W,5
>YML087C,5
>YML085C,3
>YML081W,0
>YML078W,5
>YML075C,3
>YML073C,3
>YML070W,0
>YML069W,0
>YML063W,2
>YML062C,1
>YML059C,4
>YML058W,5
>YML057W,5
>YML052W,5
>YML048W,5
>YML038C,5
>YML035C,5
>YML034W,0
>YML031W,5
>YML030W,0
>YML027W,0
>YML024W,5
>YML023C,5
>YML017W,0
>YML016C,4
>YML013W,5
>YML012W,5
>YML010W,0
>YML004C,5
>YMR002W,4
>YMR006C,5
>YMR008C,5
>YMR013C,5
>YMR015C,3
>YMR016C,4
>YMR017W,0
>YMR020W,5
>YMR021C,5
>YMR022W,5
>YMR023C,5
>YMR024W,5
>YMR031C,1
>YMR036C,1
>YMR039C,1
>YMR040W,5
>YMR044W,0
>YMR052W,0
>YMR053C,1
>YMR058W,5
>YMR060C,5
>YMR069W,4
>YMR077C,1
>YMR078C,1
>YMR080C,5
>YMR100W,0
>YMR105C,3
>YMR109W,0
>YMR116C,3
>YMR119W,0
>YMR120C,3
>YMR125W,0
>YMR129W,0
>YMR131C,1
>YMR132C,1
>YMR134W,0
>YMR135C,5
>YMR136W,0
>YMR138W,5
>YMR140W,5
>YMR142C,3
>YMR143W,2
>YMR145C,3
>YMR146C,3
>YMR149W,5
>YMR150C,5
>YMR154C,5
>YMR162C,1
>YMR164C,4
>YMR165C,1
>YMR166C,5
>YMR169C,5
>YMR171C,1
>YMR176W,0
>YMR179W,0
>YMR180C,5
>YMR182C,4
>YMR189W,5
>YMR194W,0
>YMR194C-B,5
>YMR197C,1
>YMR200W,5
>YMR205C,3
>YMR208W,5
>YMR212C,1
>YMR215W,5
>YMR216C,5
>YMR217W,2
>YMR223W,5
>YMR224C,1
>YMR230W,0
>YMR234W,0
>YMR242C,5
>YMR243C,5
>YMR246W,2
>YMR247C,1
>YMR251W-A,2
>YMR258C,5
>YMR261C,1
>YMR263W,0
>YMR266W,5
>YMR272C,3
>YMR273C,1
>YMR276W,4
>YMR277W,0
>YMR285C,4
>YMR289W,5
>YMR290C,5
>YMR291W,5
>YMR292W,5
>YMR296C,4
>YMR297W,2
>YMR309C,1
>YMR311C,1
>YMR313C,5
>YMR316W,5
>YMR318C,3
>YMR319C,5
>YNL329C,5
>YNL328C,5
>YNL327W,5
>YNL314W,1
>YNL312W,5
>YNL311C,1
>YNL306W,5
>YNL302C,3
>YNL297C,1
>YNL289W,2
>YNL282W,4
>YNL281W,5
>YNL280C,3
>YNL278W,0
>YNL268W,5
>YNL263C,5
>YNL261W,5
>YNL257C,1
>YNL252C,1
>YNL251C,4
>YNL246W,5
>YNL245C,1
>YNL241C,4
>YNL238W,5
>YNL232W,5
>YNL230C,1
>YNL229C,5
>YNL223W,5
>YNL222W,5
>YNL220W,2
>YNL218W,0
>YNL212W,0
>YNL209W,2
>YNL207W,0
>YNL201C,1
>YNL200C,5
>YNL197C,4
>YNL192W,0
>YNL186W,0
>YNL178W,2
>YNL169C,5
>YNL166C,1
>YNL163C,1
>YNL162W,5
>YNL160W,2
>YNL159C,1
>YNL158W,5
>YNL155W,0
>YNL154C,4
>YNL142W,5
>YNL141W,2
>YNL139C,1
>YNL137C,1
>YNL126W,0
>YNL112W,2
>YNL111C,4
>YNL103W,0
>YNL102W,0
>YNL101W,5
>YNL100W,5
>YNL097C,4
>YNL084C,1
>YNL081C,5
>YNL080C,5
>YNL079C,1
>YNL077W,5
>YNL075W,0
>YNL073W,5
>YNL070W,5
>YNL069C,3
>YNL066W,2
>YNL065W,5
>YNL063W,5
>YNL062C,1
>YNL056W,5
>YNL055C,3
>YNL053W,5
>YNL049C,5
>YNL047C,1
>YNL042W,0
>YNL038W,5
>YNL037C,5
>YNL036W,5
